Open5GS daemon v2.7.0-84-g94bd68a

02/22 12:28:31.577: [dbi] INFO: [imsi-999700000000046] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.577: [udr] WARNING: [imsi-999700000000046] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.577: [dbi] INFO: [imsi-999700000000034] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.577: [udr] WARNING: [imsi-999700000000034] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.577: [dbi] INFO: [imsi-999700000000066] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.577: [udr] WARNING: [imsi-999700000000066] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.578: [dbi] INFO: [imsi-999700000000008] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.578: [udr] WARNING: [imsi-999700000000008] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.579: [dbi] INFO: [imsi-999700000000060] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.579: [udr] WARNING: [imsi-999700000000060] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.580: [dbi] INFO: [imsi-999700000000058] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.580: [udr] WARNING: [imsi-999700000000058] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.580: [dbi] INFO: [imsi-999700000000093] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.580: [udr] WARNING: [imsi-999700000000093] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.581: [dbi] INFO: [imsi-999700000000010] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.581: [udr] WARNING: [imsi-999700000000010] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.588: [dbi] INFO: [imsi-999700000000043] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.588: [udr] WARNING: [imsi-999700000000043] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.588: [dbi] INFO: [imsi-999700000000052] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.588: [udr] WARNING: [imsi-999700000000052] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.588: [dbi] INFO: [imsi-999700000000029] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.588: [udr] WARNING: [imsi-999700000000029] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.590: [dbi] INFO: [imsi-999700000000055] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.590: [udr] WARNING: [imsi-999700000000055] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.592: [dbi] INFO: [imsi-999700000000028] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.592: [udr] WARNING: [imsi-999700000000028] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.596: [dbi] INFO: [imsi-999700000000041] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.596: [udr] WARNING: [imsi-999700000000041] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.597: [dbi] INFO: [imsi-999700000000081] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.597: [udr] WARNING: [imsi-999700000000081] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.600: [dbi] INFO: [imsi-999700000000014] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
